,Style_1,Style_2,External(SSIM),External(MSE),Internal(SSIM),Internal(MSE),Plan(SSIM),Plan(MSE),Concept(Text),Topology,External(VGG16),Internal(VGG16),Plan(VGG16),Concept(BoW),Concept(Transformer)
BasilicaOfSanVitale&HagiaSophia,01_Byzantine,01_Byzantine,24.95765948,12.30365733,17.84387091,10.8786959,50.37638682,8.858675523,90.55331945,65,0.307330459,0.396684088,0.410332821,0.636325734,0.410659552
BasilicaOfSanVitale&SaintSophiaChurch,01_Byzantine,01_Byzantine,24.12282834,10.73420827,16.82462243,14.6775046,60.77153346,7.766831765,83.77517462,41,0.538729206,0.314465851,0.323855981,0.666350336,0.429939657
BasilicaOfSanVitale&SantaMariaMaggiore,01_Byzantine,01_Byzantine,25.13338856,8.921406388,12.99848038,13.70794216,57.81583625,9.672362299,95.15038729,115,0.470493302,0.314338636,0.393799715,0.462386099,0.582850039
HagiaSophia&SaintSophiaChurch,01_Byzantine,01_Byzantine,33.47834766,10.24337645,13.02536716,20.13585741,43.84629816,6.08502668,79.72465754,62,0.267935067,0.326685645,0.345304541,0.609149555,0.484363019
HagiaSophia&SantaMariaMaggiore,01_Byzantine,01_Byzantine,33.34792928,10.25647169,6.745425579,12.2908812,39.12549652,8.272630102,87.63747811,110,0.290162928,0.405363716,0.559838399,0.334353188,0.355405807
SaintSophiaChurch&SantaMariaMaggiore,01_Byzantine,01_Byzantine,35.3766779,8.935652545,21.11352087,12.35187373,56.46794296,6.896665752,84.77000594,110,0.415850431,0.322792247,0.393931106,0.360278097,0.372739255
BasilicaOfSanVitale&AbbeyChurchOfSainteFoy,01_Byzantine,02_Romanesque,24.66955361,11.66488202,18.43255644,13.82682718,56.78023854,9.55211517,90.83693027,35,0.508432955,0.335283011,0.445894524,0.538138235,0.328511417
BasilicaOfSanVitale&Durham Cathedral,01_Byzantine,02_Romanesque,21.31203753,9.714652796,20.42684808,12.28237958,59.46356746,9.151165367,91.19478464,35,0.437346362,0.412384093,0.382099174,0.613590427,0.314772725
BasilicaOfSanVitale&Lund Cathedral,01_Byzantine,02_Romanesque,24.66224073,13.46971735,18.56778928,13.2365886,54.66564843,9.27119732,92.95144081,29,0.580685422,0.352881946,0.320669517,0.640490399,0.329627395
BasilicaOfSanVitale&StMichaelsChurch,01_Byzantine,02_Romanesque,22.38330523,8.538678843,15.1460785,14.30269089,57.10159072,9.472346857,92.47179031,41,0.585535124,0.247251675,0.397397287,0.669208362,0.374816477
